t_s,mesh_sysid,role,lat,lon,rel_alt_m
58.44,2,follower,-35.3632872,149.1652593,15.71
58.94,2,follower,-35.3632872,149.1652593,15.21
59.44,2,follower,-35.3632872,149.1652594,14.97
59.94,2,follower,-35.3632872,149.1652594,14.97
60.45,2,follower,-35.3632872,149.1652594,15.01
60.94,2,follower,-35.3632872,149.1652594,15.03
61.45,2,follower,-35.3632872,149.1652594,15.02
61.94,2,follower,-35.3632872,149.1652594,15.02
62.45,2,follower,-35.3632872,149.1652594,15.02
62.95,2,follower,-35.3632872,149.1652595,15.01
63.44,2,follower,-35.3632872,149.1652594,15.01
63.95,2,follower,-35.3632872,149.1652594,15.01
64.44,2,follower,-35.3632872,149.1652594,15.01
64.94,2,follower,-35.3632872,149.1652594,15.01
65.44,2,follower,-35.3632872,149.1652594,15.00
65.95,2,follower,-35.3632872,149.1652594,15.00
66.44,2,follower,-35.3632872,149.1652594,15.00
66.94,2,follower,-35.3632872,149.1652594,15.00
67.45,2,follower,-35.3632872,149.1652594,15.00
67.94,2,follower,-35.3632872,149.1652594,15.00
68.44,2,follower,-35.3632872,149.1652594,15.00
68.94,2,follower,-35.3632872,149.1652594,15.00
69.45,2,follower,-35.3632872,149.1652594,15.00
69.94,2,follower,-35.3632872,149.1652594,15.00
70.45,2,follower,-35.3632872,149.1652594,15.00
70.95,2,follower,-35.3632872,149.1652595,15.00
71.44,2,follower,-35.3632872,149.1652595,15.00
71.94,2,follower,-35.3632872,149.1652595,15.00
72.44,2,follower,-35.3632872,149.1652595,15.00
72.95,2,follower,-35.3632872,149.1652595,15.00
73.44,2,follower,-35.3632872,149.1652595,15.00
73.94,2,follower,-35.3632872,149.1652595,15.00
74.44,2,follower,-35.3632872,149.1652595,15.00
74.95,2,follower,-35.3632872,149.1652595,15.00
75.44,2,follower,-35.3632872,149.1652595,15.00
75.95,2,follower,-35.3632872,149.1652595,15.00
76.44,2,follower,-35.3632872,149.1652594,15.00
76.95,2,follower,-35.3632872,149.1652594,15.00
77.45,2,follower,-35.3632872,149.1652594,15.00
77.95,2,follower,-35.3632872,149.1652594,15.00
